FirstPhonetic	GardinerSignCode	UnicodeHex
1	Z1	133E4
10	V20	13386
100	V1	13362
2	Z4A	133EE
3	Z2	133E5
a	D36	1309D
A	G1	1313F
aA	O29	1327B
AA	G1	1313F
aAmw	A49	1303A
ab	D59	130C1
Ab	U23	1334B
abA	S42	13302
Abd	N11	131F9
Aby	E24	130EE
ad	K3	1319D
aD	V26	13399
afti	A36	13029
aH	O11	13265
aHa	P6	132A2
aHA	D34	1309A
Ai	T12	13317
Amm	D49	130AC
Ams	S44	13304
an	D7	1307C
ann	D55	130BD
ant	D51	130B7
anw	A31	13023
anw	D8	1307D
anx	S34	132F9
apr	Aa20	13422
aq	G35	13167
AqHw	T7A	1330F
Ar	T12	13317
arq	V12	1337C
aS	A26	1301E
aSA	I1	13188
Atf	S8	132DA
Atp	A9	1300B
ATp	A9	1300B
Aw	F40	1312B
awt	S39	132FF
Ax	G25	1315C
Axt	N27	1320C
b	D58	130C0
bA	G29	13161
bAH	D53	130BA
baHi	G32	13164
bAs	W2	133B0
bd	R9	132BA
bdt	M34	131E3
bH	F18	13111
bHs	E3	130D4
biA	U16	13344
bit	L2	131A4
bity	A45	13035
bnr	M30	131DC
bSi	D26	13090
bw	D58	130C0
bz	K5	1319F
d	D46	130A7
D	I10	13193
DA	U28	13351
DADA	D1	13076
Dam	S41	13301
db	F16	1310F
Db	G22	13159
Dba	D50	130AD
DbA	T25	13325
dd	R11	132BD
Dd	R11	132BD
DD	I11	13195
DfD	D12	13082
dgi	D5	1307A
DHwty	C3	1305F
di	X8	133D9
dmD	S23	132EC
dqr	D51	130B7
Dr	M36	131E5
DrD	F21	13114
Drt	D46	130A7
dSr	G27	1315F
Dsr	D45	130A6
dSrt	S3	132D4
N	S3	132D4
Dw	N26	1320B
dwA	N14	131FC
dwAt	N15	131FD
f	I9	13191
fA	A9	1300B
fAi	A9	1300B
fnd	D19	13089
fnD	D19	13089
g	W11	133BC
gb	G38	1316C
gbA	D41	130A2
gH	D56	130BE
gHs	D56	130BE
gm	G28	13160
grg	U17	13345
gs	Aa13	1341B
h	O4	13254
H	V28	1339B
HA	M16	131C9
Hai	A28	13020
HAi	A28	13020
HAt	F4	13102
hb	U13	13341
Hb	W3	133B1
HD	T3	13309
HDD	T6	1330D
HDt	S1	132D1
Hfn	I8	13190
HH	C11	13068
Hm	U36	1335B
Hms	A3	13002
Hmsi	A3	13002
Hmt	U24	1334D
Hn	M2	131B0
Hnk	D39	130A0
Hnmmt	N8	131F6
Hnqt	W22	133CA
hnw	A8	1300A
Hp	Aa5	13411
Hpt	D32	13098
HqA	S38	132FE
HqAt	U11	1333F
Hr	D2	13077
hrw	N5	131F3
HsAt	E4	130D5
Htp	R4	132B5
Hw	F18	13111
Hwi	A24	1301C
Hwt	O6	13257
Hz	W14	133BF
i	M17	131CB
iab	W10	133BA
iAb	R15	132C1
iAdt	N4	131F2
iaH	N11	131F9
iAm	M1	131AD
iAs	A28	13020
iAt	N30	1320F
iAT	D57	130BF
iAw	A19	13017
ib	F34	13123
ibA	Y6	133E1
id	N42	1321F
idn	F21	13114
idr	V37	133A9
idt	N4	131F2
iH	T24	13324
